Freq.,S(f)in,S(f)re
0.00000,0.00000,0.00000
0.00244,0.00000,0.00000
0.00488,0.00000,0.00000
0.00732,0.00000,0.00000
0.00977,0.00000,0.00000
0.01221,0.00000,0.00000
0.01465,0.00000,0.00000
0.01709,0.00000,0.00000
0.01953,0.00000,0.00000
0.02197,0.00000,0.00000
0.02441,0.00000,0.00000
0.02686,0.00000,0.00000
0.02930,0.00000,0.00000
0.03174,0.00000,0.00000
0.03418,0.00000,0.00000
0.03662,0.00000,0.00000
0.03906,0.00000,0.00000
0.04150,0.00000,0.00000
0.04395,0.00000,0.00000
0.04639,0.00000,0.00000
0.04883,0.00000,0.00000
0.05127,0.00000,0.00000
0.05371,0.00000,0.00000
0.05615,0.00000,0.00000
0.05859,0.00000,0.00000
0.06104,0.00000,0.00000
0.06348,0.00000,0.00000
0.06592,0.00000,0.00000
0.06836,0.00000,0.00000
0.07080,0.00000,0.00000
0.07324,0.00000,0.00000
0.07568,0.00000,0.00000
0.07812,0.00000,0.00000
0.08057,0.00000,0.00000
0.08301,0.00000,0.00000
0.08545,0.00000,0.00000
0.08789,0.00000,0.00000
0.09033,0.00000,0.00000
0.09277,0.00000,0.00000
0.09521,0.00000,0.00000
0.09766,0.00000,0.00000
0.10010,0.00000,0.00000
0.10254,0.00000,0.00000
0.10498,0.00000,0.00000
0.10742,0.00000,0.00000
0.10986,0.00000,0.00000
0.11230,0.00000,0.00000
0.11475,0.00000,0.00000
0.11719,0.00000,0.00000
0.11963,0.00000,0.00000
0.12207,0.00000,0.00000
0.12451,0.00000,0.00000
0.12695,0.00000,0.00000
0.12939,0.00000,0.00000
0.13184,0.00000,0.00000
0.13428,0.00000,0.00000
0.13672,0.00000,0.00000
0.13916,0.00000,0.00000
0.14160,0.00000,0.00000
0.14404,0.00000,0.00000
0.14648,0.00000,0.00000
0.14893,0.00000,0.00000
0.15137,0.00000,0.00000
0.15381,0.00000,0.00000
0.15625,0.00000,0.00000
0.15869,0.00000,0.00000
0.16113,0.00000,0.00000
0.16357,0.00000,0.00000
0.16602,0.00000,0.00000
0.16846,0.00000,0.00000
0.17090,0.00000,0.00000
0.17334,0.00000,0.00000
0.17578,0.00000,0.00000
0.17822,0.00000,0.00000
0.18066,0.00000,0.00000
0.18311,0.00000,0.00000
0.18555,0.00000,0.00000
0.18799,0.00000,0.00000
0.19043,0.00000,0.00000
0.19287,0.00000,0.00000
0.19531,0.00000,0.00000
0.19775,0.00000,0.00000
0.20020,0.00000,0.00000
0.20264,0.00000,0.00000
0.20508,0.00000,0.00000
0.20752,0.00000,0.00000
0.20996,0.00000,0.00000
0.21240,0.00000,0.00000
0.21484,0.00000,0.00000
0.21729,0.00000,0.00000
0.21973,0.00000,0.00000
0.22217,0.00000,0.00000
0.22461,0.00000,0.00000
0.22705,0.00000,0.00000
0.22949,0.00000,0.00000
